Post ID,Access Restriction Type,Post Update Timestamp,Image 1 Name,Image 1 Height In Pixels,Image 1 Preview Coordinates,Image 1 Width In Pixels,Image 2 Name,Image 2 Height In Pixels,Image 2 Preview Coordinates,Image 2 Width In Pixels,Image 3 Name,Image 3 Height In Pixels,Image 3 Preview Coordinates,Image 3 Width In Pixels,Image 4 Name,Image 4 Height In Pixels,Image 4 Preview Coordinates,Image 4 Width In Pixels,Image 5 Name,Image 5 Height In Pixels,Image 5 Preview Coordinates,Image 5 Width In Pixels,Post Create Timestamp,Post Publish Timestamp,Post Type,Shared Video 1 ID,Post Text
UgkxW-4XUiQRsn7FZuYptx7Za3taGuwTOe4v,Everyone,2024-10-25T15:59:00.575202+00:00,UgkxW-4XUiQRsn7FZuYptx7Za3taGuwTOe4v_image,1080,0.21875 0 0.78125 1,1920,,,,,,,,,,,,,,,,,2024-10-25T15:56:40.794211+00:00,2024-10-25T15:56:40.794211+00:00,Image,,"{""text"":""I like these (Slowburn - The rise of Fox News | 5. Ludacris has been fired):\n(1) ""},{""text"":""https://open.spotify.com/episode/0P4K9kaU4pYuf8sfxwll6x"",""link"":{""linkUrl"":""https://open.spotify.com/episode/0P4K9kaU4pYuf8sfxwll6x""}},{""text"":""\n(2) ""},{""text"":""https://www.youtube.com/watch?v=v8RmrH3vFgU"",""videoLink"":{""externalVideoId"":""v8RmrH3vFgU""}},{""text"":""\nOkay, Kamala. You WIN! I will donate the $47 ($53 - see below) to your campaign as a post-doctoral thirty-something teenager on a shoestring budget. It means that much to me and the democracy.\n\nSEE BELOW: \n(3) ""},{""text"":""https://github.com/maxieds/GEyesThemes/releases/tag/Codename-BackOrifice53"",""link"":{""linkUrl"":""https://github.com/maxieds/GEyesThemes/releases/tag/Codename-BackOrifice53""}},{""text"":""\n(4) ""},{""text"":""https://github.com/maxieds/GEyesThemes/tree/master/FuckTrump"",""link"":{""linkUrl"":""https://github.com/maxieds/GEyesThemes/tree/master/FuckTrump""}}"
UgkxDtOuS2dmXTLzL41VVNWyjLoAygWKA-2U,Everyone,2024-09-28T15:37:03.264594+00:00,,,,,,,,,,,,,,,,,,,,,2024-09-28T15:37:03.264594+00:00,2024-09-28T15:37:03.264594+00:00,Text,,"{""text"":""I ENDORSE KAMALA HARRIS AS OUR NEXT PRESIDENT!!! I check in with people who are undercover FBI on a routine basis. One thing my favorite one of them repeated to me is that Trump's father was a big player in apartheid in South Africa (white minority rule). So why are so many of these uneducated (under-educated) white folk in America so religiously Trump? It's about what he represents coming back to fruition in this country. Project 2025: LOOK IT UP! N.b., JD Vance wrote its foreword.""}"
UgkxkJMmg1ghzbFPqFR04oscIGLNQhxuD9i3,Everyone,2024-09-14T16:10:56.097718+00:00,UgkxkJMmg1ghzbFPqFR04oscIGLNQhxuD9i3_image_1,1920,0.125 0 0.875 1,2560,UgkxkJMmg1ghzbFPqFR04oscIGLNQhxuD9i3_image_2,1920,0.125 0 0.875 1,2560,UgkxkJMmg1ghzbFPqFR04oscIGLNQhxuD9i3_image_3,1920,0.125 0 0.875 1,2560,UgkxkJMmg1ghzbFPqFR04oscIGLNQhxuD9i3_image_4,2560,0 0.125 1 0.875,1920,UgkxkJMmg1ghzbFPqFR04oscIGLNQhxuD9i3_image_5,1014,0 0.263314 1 0.736686,480,2024-09-14T16:10:56.097718+00:00,2024-09-14T16:10:56.097718+00:00,Image,,"{""text"":""Here are some image highlights from this week in Chicago. Anti-semistism and stalking are key. Trump (THE MAN himself) threatened to execute my kids (my cats) at a presidential debate this week. The cats are fine off at camp while Mama finds us shelter. Was that Kamala driving my CTA bus to the liquor store on 9/11? My life is crazy and weirder stuff happens to me all the time. Calling Puff 'n Stuff Gizmo (Gizmodo or Gremlins) and threatening to eat the baby (satanic baby eaters) is something Trump's grandson does routinely. Thank you to Oprah for forgiveness and wanting to pick up three cats (me, George and PnS) and saying we'll rescue the cats too. JD Vance writing the foreword to Project 2025 (2-25) is scary!""}"
Ugkx0S-rXvbhAa9PGIf-1HhXSYJtEkRU2EG6,Everyone,2024-09-01T19:47:49.541962+00:00,Ugkx0S-rXvbhAa9PGIf-1HhXSYJtEkRU2EG6_image_1,1920,0.125 0 0.875 1,2560,Ugkx0S-rXvbhAa9PGIf-1HhXSYJtEkRU2EG6_image_2,2560,0 0.125 1 0.875,1920,Ugkx0S-rXvbhAa9PGIf-1HhXSYJtEkRU2EG6_image_3,2560,0 0.125 1 0.875,1920,Ugkx0S-rXvbhAa9PGIf-1HhXSYJtEkRU2EG6_image_4,1920,0.125 0 0.875 1,2560,Ugkx0S-rXvbhAa9PGIf-1HhXSYJtEkRU2EG6_image_5,2448,0.125 0 0.875 1,3264,2024-09-01T19:46:55.216803+00:00,2024-09-01T19:46:55.216803+00:00,Image,,"{""text"":""Slandering the 555/DV courthouse state attorney's office (Kimberly Foxx) because I am applying for restraining orders in Elon Musk's kid's (Trumpy's grandson's) style. Kid is something that Trump's family use to describe satanic adults. It is exactly what it is. I get released from \""federal prison\"" after the long Labor Day weekend. Thanks for all the support (and passwords - love you Theo de Raadt).""}"
Ugkx-aU5u88UBk-wq0xQuuVTNnwPK6PvU8Rz,Everyone,2024-06-17T21:30:49.558487+00:00,Ugkx-aU5u88UBk-wq0xQuuVTNnwPK6PvU8Rz_image_1,720,0.236457 0 0.763543 1,1366,Ugkx-aU5u88UBk-wq0xQuuVTNnwPK6PvU8Rz_image_2,720,0.236457 0 0.763543 1,1366,Ugkx-aU5u88UBk-wq0xQuuVTNnwPK6PvU8Rz_image_3,1080,0.21875 0 0.78125 1,1920,Ugkx-aU5u88UBk-wq0xQuuVTNnwPK6PvU8Rz_image_4,720,0.236457 0 0.763543 1,1366,Ugkx-aU5u88UBk-wq0xQuuVTNnwPK6PvU8Rz_image_5,320,0 0.125 1 0.875,240,2024-06-17T21:30:49.558487+00:00,2024-06-17T21:30:49.558487+00:00,Image,,"{""text"":""NPR and Bernie are picking up on my online activity today. YouTube (Google lawyer delegate) is improving: Observe the recent Land Before Time VHS reference I wanted (out loud + at library in notes) and my inability to save it to the topical videos playlist because it's for \""kids\"" (as in for \""them\"", adult-aged satanic children of the Muskian age devil); then the new restrictions with subtle references to human trafficking. I am detail oriented. If you want all the small reference \""thingies\"" (technical terms) read the descriptions and all markdown files.\n\nHappy Juneteenth. Let's hope mine is better than the last where Trump wanted to say screw you to me in person: ""},{""text"":""https://github.com/maxieds/ChameleonMiniLiveDebugger/issues/26#issuecomment-1722385007"",""link"":{""linkUrl"":""https://github.com/maxieds/ChameleonMiniLiveDebugger/issues/26#issuecomment-1722385007""}},{""text"":"" (Github/maxieds/ChameleonMiniLiveDebugger - issue #26(00) - last post)\n\nMORE TO FOLLOW HERE: ""},{""text"":""https://github.com/maxieds/public-file-stashes/tree/main/image-gallery-collections/GooglePhotos-maxieds"",""link"":{""linkUrl"":""https://github.com/maxieds/public-file-stashes/tree/main/image-gallery-collections/GooglePhotos-maxieds""}},{""text"":"" (Github/maxiedspublic-file-stashes - Google photos for maxieds gallery - damn it's hard to use Github in a web browser)""}"
UgkxN1LFyNj8i8faU3lYPY8837O5loDdjJ3h,Everyone,2024-06-08T16:32:32.000057+00:00,UgkxN1LFyNj8i8faU3lYPY8837O5loDdjJ3h_image_1,1620,0.125 0 0.875 1,2160,UgkxN1LFyNj8i8faU3lYPY8837O5loDdjJ3h_image_2,2448,0.125 0 0.875 1,3264,UgkxN1LFyNj8i8faU3lYPY8837O5loDdjJ3h_image_3,3264,0 0.125 1 0.875,2448,UgkxN1LFyNj8i8faU3lYPY8837O5loDdjJ3h_image_4,1620,0.125 0 0.875 1,2160,UgkxN1LFyNj8i8faU3lYPY8837O5loDdjJ3h_image_5,1620,0.125 0 0.875 1,2160,2024-06-08T16:32:32.000057+00:00,2024-06-08T16:32:32.000057+00:00,Image,,"{""text"":""The comments about Elon Musk's ketamine and apparent IV drug use with overtones of President Biden revoking/pulling his clearance (before the 2024 election) led his son, Anothony/X, and his boys to stick me with a dirty needle on Tuesday. The sea mask with a hidden needle bite in it is in reference to Mr. Musk's far right space rhetoric and my openly calling the vile little sea slugs to their face. I have to take a month of PEP after high-risk HIV exposure. The medication regimen makes me very sick - physically and emotionally. Incidentally, the place where the dirty needle broke skin was my left (sinister) middle finger. There is an ironic storied history to injuries to my left middle finger around these men, including an ER visit in Atlanta where Megan Ranney dermabonded it after I dropped a clay bowl that he had put plastic explosives on washing dishes during COVID. NPR (WBEZ in Chicago) is obviously with me and the documentary people. They played the Beavis and Butthead intro music on the radio on Thursday (day after angry doctor checkout - people talk - high risk HIV exposure over a social media post? WTF, seriously!). On Friday they played my mom's favorite Nelly song in her SJSS memorial playlist from my channel.\n\nCrap like this happens within a week of Trump's conviction in New York. He should get prison time if the judge considers intimidation actions in sentencing. NPR last night (Friday) had a segment explaining the Trump family's history of treating political opponents and other outspoken people about their objectionable activities and attitudes. They are on point with that! JOHN GOTTI (without respectful pause, I might add, and similarly for ELON MUSK) and my father's involvement in his going away to prison is apparently why my family has been targeted so viciously over the years. Liver-ache is pronounced Liverache to the Italians. They characteristically have no clue (so to speak). MAXIMUM SENTENCE TO ELON MUSK'S SON (TRUMP'S GRANDSON) FOR SEXUAL ASSAULT IN CHICAGO! No kidding :(\n\nHERE WE GO (OBLIGATORY TAGS): ""},{""text"":""#MeTooSis"",""hashtag"":{""hashtagId"":""metoosis""}},{""text"":"", ""},{""text"":""#NoMeansNo"",""hashtag"":{""hashtagId"":""nomeansno""}},{""text"":""\nLINK TO OFFENDING VIDEO COMMENTS: ""},{""text"":""https://youtu.be/RmJS3bCcc3s"",""videoLink"":{""externalVideoId"":""RmJS3bCcc3s""}}"
UgkxTaC87iWT0Ire74N3QGZbHal7gTX1jk-4,Everyone,2024-05-28T17:56:58.163851+00:00,UgkxTaC87iWT0Ire74N3QGZbHal7gTX1jk-4_image_1,1080,0.21875 0 0.78125 1,1920,UgkxTaC87iWT0Ire74N3QGZbHal7gTX1jk-4_image_2,1080,0.21875 0 0.78125 1,1920,UgkxTaC87iWT0Ire74N3QGZbHal7gTX1jk-4_image_3,1080,0.21875 0 0.78125 1,1920,,,,,,,,,2024-05-28T17:56:58.163851+00:00,2024-05-28T17:56:58.163851+00:00,Image,,"{""text"":""(READ ALL RE 3/5 AND ELON MUSK BELOW) The public librarian is one of a number of people reminding me to hang in there and stay positive. She reminded me of the North Branch Natives presentation the Saturday before the second Mother's Day without my mom, Dr. Sarah Jane Sweat Schmidt. The Sun Times Chicago newspaper submission last week (text posted on Github; see links below) boosted supportive gestures from kind strangers in South Shore. Biden is campaigning outside the New York courthouse where Trump's trial is about to conclude. I have heard Trump is likely to get sentenced to time at Riker's Island. NPR (WBEZ in Chicago) is making so many personal references to me this Memorial Day weekend that I am starting to question whether it is AI generated (it isn't). An expression to me is that my old man (late dad, Dr. Donald Eugene Schmidt, murdered after giving a touching eulogy for my mother on FRIDAY May 13, 2022) had me drafted to serve in a special operations mission. He would. His ghost is something I can feel around me now.\n\nMy Github (maxieds/public-file-stashes) analytics log ammo reloads in the ongoing effort to annex the Twitter DMs about January 6, 2021, led Elon Musk to issue another open screw you to me. I removed the phone number from my Google accounts (five of them) and added a non-Gmail recovery address. Nonetheless, with inside information about my phone not working due to a damaged SIM card that needs replacement, I am unable to login to 3/5 (AHEM) of my Google accounts without the redacted number. He had faulty inside information that I needed that account to get a new SIM card. This is what the images are about. The abuse clause NOT multiple accounts phrase wreaks of Mr. Musk and his domineering alpha dictatorship of a personality. Why did 3/5 of the Google trees in my spanning forest have to die to get our pet cat Elon out of the tree with increased awareness from security folks about the X/Twitter info/data war? It's about post-Civil-War SLAVERY and the value of African American merit in the electorate. These men are flaming white supremacists. They are all going Hell when they die. God fearing Americans like me will move on and continue to fear no evil, paraphrasing former president and Chicago native Barack Obama in eulogizing John Lewis in 2020, until these evil people finally get there.""}"
UgkxLXR-YrC5JXKgqLswzJMY4aAGaxGDzhJF,Everyone,2024-05-24T18:16:44.177044+00:00,UgkxLXR-YrC5JXKgqLswzJMY4aAGaxGDzhJF_image,720,0.236457 0 0.763543 1,1366,,,,,,,,,,,,,,,,,2024-05-24T18:16:44.177044+00:00,2024-05-24T18:16:44.177044+00:00,Image,,"{""text"":""South Shore Chicago, Illinois, USA, North America, Earth is very bustling today. IT WORKED! The media is going to kill them: ""},{""text"":""https://github.com/maxieds/public-file-stashes/commit/a1aca1dcaa185967ea8de64b568a79af790d1e89"",""link"":{""linkUrl"":""https://github.com/maxieds/public-file-stashes/commit/a1aca1dcaa185967ea8de64b568a79af790d1e89""}},{""text"":"". They cut me off typing the commit message to truncate the final annexation of the Twitter DMs (because so many more people are paying attention this weekend). Also, a number of personal and Sun Times references on NPR radio today. Check out the confetti on my YouTube studio for the Obama prep work about judicial recalls for light sentences for sexual assault (formerly about a Stanford athlete in California) for Anthony/X getting apprehended. Happier to today, singing Ren and Stimpson J. Cat: Happy, happy, joy, joy...""}"
Ugkx8k1U4DTjFWCwteRW3l_Mn0dPJ2grA4ox,Everyone,2024-05-23T18:01:34.708151+00:00,,,,,,,,,,,,,,,,,,,,,2024-05-23T18:01:34.708151+00:00,2024-05-23T18:01:34.708151+00:00,Text,,"{""text"":""Very welcome supportive gestures: I smiled back at E. Jean Carroll on the Chicago CTA Red Line train back from my therapist appointment yesterday. The week before my aunt made contact by sitting across from me on the Red Line. Family and friends are showing support but keeping a distance because of the way Trump attacks people who played a role in his indictments. My father was in the casino the night John Gotti murdered a homosexual (gay male) federal agent found dead with a pool queue lodged in his colon. He finally went away for that. I recall memories of having been kidnapped by Trump's family as a very young child and getting badly beaten up before being returned. The dramatic readings by Hollywood actors/actresses of Trump's indictments show how I was used without getting to testify using my legal name in open court, e.g., WomanQ. I have had to assume all the risk and penalty as though I had testified in open court. The FBI and supportive people are helping protect me and relocate safely, but this takes time. Trump's people attacking me viciously in South Shore, the area of Chicago where Michelle Obama is from, is his way of saying F-you to Obama. Kind of like sitting on the former president's wife's head in her home town and farting loudly - a gesture that got him put in a holding cell in New York. I plan on donating the tax deductible parts of law suit damages to the Obama Presidential Library. Should be a lot of money.\n\nMy impolite discussions with the therapist may have been overheard. I want to immortalize Barack Obama as a Priapus statue (Roman god) in bronze with his middle finger up (at the Republicans) and a brief case like Ronald Regan. Then we need to impale Donald Trump on Barack's big black cock in a 25-minute-minimum (not 6-maximum as the misogynist rhetoric usually goes) \""slut\"" video. For the territory, this is PG-13 and definitely impolite, like Miss Pelosi being too polite to the Republicans. I say whay I mean: ""},{""text"":""#NoMeansNo"",""hashtag"":{""hashtagId"":""nomeansno""}},{""text"":"", a sorry downgrading of the deprecated ""},{""text"":""#MeToo"",""hashtag"":{""hashtagId"":""metoo""}},{""text"":"".""}"
UgkxZEBWcVu2kJ4FgeTaVRWI-R6Ywo7kgkJd,Everyone,2024-04-27T15:35:00.742945+00:00,UgkxZEBWcVu2kJ4FgeTaVRWI-R6Ywo7kgkJd_image_1,2448,0.125 0 0.875 1,3264,UgkxZEBWcVu2kJ4FgeTaVRWI-R6Ywo7kgkJd_image_2,720,0.236457 0 0.763543 1,1366,,,,,,,,,,,,,2024-04-27T15:32:53.073011+00:00,2024-04-27T15:32:53.073011+00:00,Image,,"{""text"":""The 800-number hotline agent instructed me to go to my local office in person to talk over my benefits application. This is how it turned out: circular logic. I saw Mary Trump on the bus ride back. She's not creepy to be followed around by. Is anyone else scared of the actions outlined in Project 2025 yet? The election is still ahead of us. Trump is selling personalized Bibles to the Evangelicals after 42+1=43 (meaning of life one-ups-man-ship) videos with \""Jesus Christ had a pet turkey\"" in their title the last election before X-mas (you know what I mean).""}"
UgkxieoWrTf6c2RjHjNg-N30E3RdmfTid_Ub,Everyone,2024-04-20T18:35:57.560356+00:00,UgkxieoWrTf6c2RjHjNg-N30E3RdmfTid_Ub_image_1,2448,0.125 0 0.875 1,3264,UgkxieoWrTf6c2RjHjNg-N30E3RdmfTid_Ub_image_2,1620,0.125 0 0.875 1,2160,,,,,,,,,,,,,2024-04-20T18:35:57.560356+00:00,2024-04-20T18:35:57.560356+00:00,Image,,"{""text"":""The very open harassment continues. The Chicago Northside (FCRC) DHS office closed down suddenly the day I had to go two hours each way to renew my benefits. Some people went over there with me to watch me curse. Is this personal for Trump too (not just Elon Musk)? This image was above me on the train coming back. So, yes, apparently. Other sights on the bus over there include the following open Nazi gestures: The People's Gas Chamber sponsored by Sweedish hospital and Wolfy's restaurant featuring Vienna Beef hot dogs. It never ends with these people.""}"
