Video ID,Video Recording Address,Video Recording Date,Video Recording Altitude,Video Recording Latitude,Video Recording Longitude,Place ID derived from Google's Places API
YXm0pkYXB5s,Pensacola,,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
WbTFXflBZdo,Pensacola,,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
yb3yaYjJVeU,,2023-03-26T00:00:00+00:00,0,0,0,
GV-Lg6oBkb0,Pensacola,,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
 -iIdTTlQ6Tk,,,0,0,0,
U6wAUetq41A,,,0,0,0,
AzXzxWmclUU,,,0,0,0,
ePHps6ix86g,,,0,0,0,
eelx1kl1MPs,,,0,0,0,
LA1b83H9RY8,,,0,0,0,
k1s-CW4aM7Y,,,0,0,0,
MRKLXrbw_UQ,,,0,0,0,
oNl1XLG9-sc,,,0,0,0,
gwxfJ1nirnI,,,0,0,0,
2FwRucWG81c,,,0,0,0,
Q_QdVfYnLmI,,,0,0,0,
fc0i4g1VGwo,,,0,0,0,
DlZ_ZqbEupE,,,0,0,0,
tXKOwefI10s,,,0,0,0,
0B8Gvd9kt_8,,,0,0,0,
xIgAjM2KwzA,,,0,0,0,
nrNHOxt2S7g,,,0,0,0,
mkX9W3I2qgM,,,0,0,0,
Tk2mkPI4sK4,,,0,0,0,
ZHPSsfFsmu0,,,0,0,0,
NWJIYv14aH8,,,0,0,0,
bX04LbOJMsk,,,0,0,0,
Lgb-ny12OTY,,,0,0,0,
uLjfCYiwVtk,,,0,0,0,
x7VslKmnGtg,,,0,0,0,
cwJhPRlyLa8,,,0,0,0,
_j2068NZg8E,,,0,0,0,
MFjEuRg3KEo,,,0,0,0,
XBoihBDOTMY,,,0,0,0,
G13HgvY9jkc,,,0,0,0,
wSHovtBxT4M,,,0,0,0,
CcRQ-YSZmf0,,,0,0,0,
lzXvh2HBJsY,,,0,0,0,
xJ6z3Rdo9MQ,,,0,0,0,
cT1wbJ6wQMI,,,0,0,0,
Iher8zBKfFA,,,0,0,0,
hN2AXMkNHIg,,,0,0,0,
cu-NpUvfsQk,,,0,0,0,
iy1Kyi3UJik,,,0,0,0,
cVWe5ga_VPg,,,0,0,0,
O6gZlkLGFsk,,,0,0,0,
jD0iJeCN5uc,,,0,0,0,
ZZ5d7y2Zynk,,,0,0,0,
WR89mx5WVwU,,,0,0,0,
D4bvItBnJdg,,,0,0,0,
WBq-LJoSNIY,,,0,0,0,
XdJz0vMRG4w,,,0,0,0,
m3SFdxvuArU,,,0,0,0,
cg0lVVew46I,,,0,0,0,
ubj7fJCXKH0,,,0,0,0,
XDvcu7vFpNQ,,,0,0,0,
YJ6r6CJKqNA,,,0,0,0,
aBC01CHzDPQ,,,0,0,0,
eddkwmCGLqI,,,0,0,0,
lbR5N96n7kw,,,0,0,0,
aVCovqXWu8Y,,,0,0,0,
yZTq0XMWaxo,,,0,0,0,
1GDlQ9YGz_M,,,0,0,0,
IJ6XifH_e-s,,,0,0,0,
qQnCdgBlz2w,,,0,0,0,
Vndq4LslSnc,,,0,0,0,
OwMcaoGr5og,,,0,0,0,
FpL07HuKtkk,,,0,0,0,
Mx6X27GlwJ0,,,0,0,0,
4u1sxY0cHq4,,,0,0,0,
ku8pde52V48,,,0,0,0,
EeZvftyd9aE,,,0,0,0,
YrEqCcwVodY,,,0,0,0,
G4FmHHDph5Q,,,0,0,0,
OpaT6bjYSjw,,,0,0,0,
nlLsPR6a6GQ,,,0,0,0,
rm0p4D8Bz40,,,0,0,0,
x_FV5fcRgKE,,,0,0,0,
9HM3SF19GYI,,,0,0,0,
Olf2w5Ete6c,,,0,0,0,
9xC7QzDmp3I,,,0,0,0,
6SbCkb9gufc,,,0,0,0,
rQqnANgObdM,,,0,0,0,
zL3zsQ1cSIc,,,0,0,0,
1XONFr5mXFU,,,0,0,0,
l6_d4cH7CIo,,,0,0,0,
0b9t8e0LP28,,,0,0,0,
Bng524s77Iw,,,0,0,0,
xdY7-klFFq4,,,0,0,0,
QeKsgqufog8,,,0,0,0,
kCqC-LhxTxg,,,0,0,0,
HN8Jvm2177c,,,0,0,0,
KkHHLmnWeSI,,,0,0,0,
EeWpZdMb3PE,,,0,0,0,
Ym1HdCftwh0,,,0,0,0,
ekpCWbV5c3w,,,0,0,0,
xjZEu8gngpU,,,0,0,0,
Z60WqTipBk4,,,0,0,0,
meRWSD_akTE,,,0,0,0,
uwg-h0KW0-E,,,0,0,0,
_TSQ2CS0N9s,,,0,0,0,
Q290NIzhakg,,,0,0,0,
Xrc2II5RJyY,,,0,0,0,
RFBioqfGmAc,,,0,0,0,
00NFHd_X1kc,,,0,0,0,
OZVeGQISU88,,,0,0,0,
yMqd3L0en3g,,,0,0,0,
TdxT_CVm0v0,,,0,0,0,
frMvCeF_rnU,,,0,0,0,
Ks3Culmnh4o,,,0,0,0,
CAkzM8cL3bE,,,0,0,0,
aItWWFrErCM,,,0,0,0,
_KNXhXzcD7w,,,0,0,0,
Xgvcyn8AyiY,,,0,0,0,
P8Y45mPVULA,,,0,0,0,
0vOpECVqJgU,,,0,0,0,
7J8Q9s_2-8U,,,0,0,0,
4V7O9eOlw9U,,,0,0,0,
bkZ22GY2Sww,,,0,0,0,
ulRqJQZacL4,,,0,0,0,
JnuyHh0tRyk,,,0,0,0,
855fFKm-50w,,,0,0,0,
tcHdLdhBdOo,,,0,0,0,
1AGIO1_5iSc,,,0,0,0,
rnUVlZDzJnE,,,0,0,0,
z_iAowT4gnI,,,0,0,0,
zRS_oc6gplc,,,0,0,0,
Ym73ZsEK1ng,,,0,0,0,
v1usv8QhJ0A,,,0,0,0,
o1wyEhLuDKo,,,0,0,0,
ecJo-ymL_dQ,,,0,0,0,
6WKT1-ofHQQ,,,0,0,0,
t-xaxuYonLE,,,0,0,0,
WEA-aFJ0fmQ,,,0,0,0,
mZHrN7u8giY,,,0,0,0,
u6LNc8L73Bw,,,0,0,0,
my7mIerTfhY,,,0,0,0,
XA2XV_LcD0k,,,0,0,0,
WQt3Lnl75dw,,,0,0,0,
EO_ov4tX6bw,,,0,0,0,
CEGXEw-kNWY,,,0,0,0,
1kofGd_Up6A,,,0,0,0,
2yOLH7m7rKA,,,0,0,0,
m9yGYAuFBe4,,,0,0,0,
1U5aVKd43ak,,,0,0,0,
izTE__4gGqs,,,0,0,0,
4ZHIe8GC9Ng,,,0,0,0,
V0lTmoNQDek,,,0,0,0,
XIPGZGAJ2jE,,,0,0,0,
8MnOEn5_70E,,,0,0,0,
2-Ro5EaS850,,,0,0,0,
ZVZJcSTvvuA,,,0,0,0,
aiRaOG5HXS0,,,0,0,0,
WNzWk1YNA70,,,0,0,0,
sXv2pcjlFvQ,,,0,0,0,
_9mgzm1XLgc,,,0,0,0,
XXpUynDbbG8,,,0,0,0,
2MYTuQHnvtc,,,0,0,0,
QL0CMwL_kHk,,,0,0,0,
mSu2l-dX4yU,,,0,0,0,
8noBs5FIn4k,,,0,0,0,
U6pPiYbZTTk,,,0,0,0,
pN3eU7Et9Qk,,,0,0,0,
MrX9rdxton8,,,0,0,0,
Q-ftY2T6VaQ,,,0,0,0,
1PvbwdVJrYY,,,0,0,0,
df9_8tjmIxA,,,0,0,0,
eiSmKgsDVuk,,,0,0,0,
Ky5nYbO9W1c,,,0,0,0,
z2xh-t91Jt0,,,0,0,0,
aO6fS_7kGg8,,,0,0,0,
brEptV13HqQ,,,0,0,0,
LrUNIl5Rhhw,,,0,0,0,
sq55ulUmCcM,,,0,0,0,
fOINh6iSuz4,,,0,0,0,





