Jul  6 00:30:00 Drs-MacBook-Pro newsyslog[1057]: logfile turned over
Mon Jul  6 01:26:04.397 <airport[198]> airportdProcessDLILEvent: <en0> Setting power ON
Mon Jul  6 01:26:04.534 <airport[198]> ERROR: rapportd (400) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:26:04.534 <airport[198]> ERROR: sharingd (483) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:29:44.693 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 01:29:44.693 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 01:29:44.693 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.244
Mon Jul  6 01:29:44.693 <kernel> wl0: setup_keepalive: Local port: 49153, Remote port: 5223
Mon Jul  6 01:29:44.693 <kernel> wl0: setup_keepalive: Seq: 1349806604, Ack: 801828549, Win size: 2048
Mon Jul  6 01:29:44.693 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 01:29:44.693 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 01:29:44.693 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 01:29:44.693 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:adbe:933:22ae:bef4
Mon Jul  6 01:29:44.693 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 01:29:57.000 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Mon Jul  6 01:29:57.000 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Mon Jul  6 01:29:57.001 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1349806604, Ack: 801828549, Win size: 2048
Mon Jul  6 01:29:57.001 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1349807038, Ack 801828549, Win size 249
Mon Jul  6 01:29:57.001 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Mon Jul  6 01:29:57.001 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Mon Jul  6 01:29:57.001 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Mon Jul  6 01:29:57.014 <airport[198]> _configureTCPKeepAlive: Unable to enable TCP keep-alive on en0 (Device power is off)
Mon Jul  6 01:29:57.024 <kernel>  IOCTL (from pid 198) not recognized: 381 out of 380
Mon Jul  6 01:29:57.716 <kernel> en0: setting diversity to: -1
Mon Jul  6 01:29:57.716 <kernel> en0: Error configuring antenna diversity (index = -1).
Mon Jul  6 01:29:57.716 <kernel> en0: setting tx antenna: -1
Mon Jul  6 01:29:57.716 <kernel> en0: Error configuring transmit antenna (index = -1).
Mon Jul  6 01:29:57.745 <airport[198]> ERROR: sharingd (483) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:29:57.745 <airport[198]> ERROR: rapportd (400) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:29:57.831 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Mon Jul  6 01:30:03.319 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 01:30:03.319 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 01:30:03.319 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.244
Mon Jul  6 01:30:03.319 <kernel> wl0: setup_keepalive: Local port: 49153, Remote port: 5223
Mon Jul  6 01:30:03.319 <kernel> wl0: setup_keepalive: Seq: 1349807132, Ack: 801828573, Win size: 2048
Mon Jul  6 01:30:03.319 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 01:30:03.319 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 01:30:03.320 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 01:30:03.320 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:adbe:933:22ae:bef4
Mon Jul  6 01:30:03.320 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 01:35:33.001 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Mon Jul  6 01:35:33.001 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Mon Jul  6 01:35:33.001 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1349807132, Ack: 801828573, Win size: 2048
Mon Jul  6 01:35:33.001 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1349807132, Ack 801828573, Win size 249
Mon Jul  6 01:35:33.001 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Mon Jul  6 01:35:33.001 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Mon Jul  6 01:35:33.001 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Mon Jul  6 01:35:33.026 <airport[198]> airportdProcessDLILEvent: <en0> event=1, flags=0xFFFF8863, lastPowerPref=on
Mon Jul  6 01:35:33.026 <airport[198]> airportdProcessDLILEvent: en0 marked UP, applying user power preferences (ON).
Mon Jul  6 01:35:33.026 <airport[198]> airportdProcessDLILEvent: <en0> Setting power ON
Mon Jul  6 01:35:33.032 <airport[198]> _configureTCPKeepAlive: Unable to enable TCP keep-alive on en0 (Operation not supported)
Mon Jul  6 01:35:33.707 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Mon Jul  6 01:35:33.849 <airport[198]> ERROR: sharingd (483) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:35:33.851 <airport[198]> ERROR: rapportd (400) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:35:57.230 Apple80211Set:10289 Processing APPLE80211_IOC_ROAM
Mon Jul  6 01:35:57.230 Apple80211Set:10303 Processing APPLE80211_IOC_ROAM dataRef:0x7fc567a0b230
Mon Jul  6 01:35:57.230 Apple80211Set:10324 CFType is CFData
Mon Jul  6 01:37:24.459 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 01:37:24.459 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 01:37:24.459 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.244
Mon Jul  6 01:37:24.459 <kernel> wl0: setup_keepalive: Local port: 49153, Remote port: 5223
Mon Jul  6 01:37:24.459 <kernel> wl0: setup_keepalive: Seq: 1349808160, Ack: 801828621, Win size: 2048
Mon Jul  6 01:37:24.459 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 01:37:24.459 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 01:37:24.459 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 01:37:24.459 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:adbe:933:22ae:bef4
Mon Jul  6 01:37:24.459 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 01:46:41.001 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Mon Jul  6 01:46:41.001 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Mon Jul  6 01:46:41.001 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1349808160, Ack: 801828621, Win size: 2048
Mon Jul  6 01:46:41.001 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1349808594, Ack 801828621, Win size 249
Mon Jul  6 01:46:41.001 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Mon Jul  6 01:46:41.001 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Mon Jul  6 01:46:41.001 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Mon Jul  6 01:46:41.022 <airport[198]> airportdProcessDLILEvent: <en0> event=1, flags=0xFFFF8863, lastPowerPref=on
Mon Jul  6 01:46:41.022 <airport[198]> airportdProcessDLILEvent: en0 marked UP, applying user power preferences (ON).
Mon Jul  6 01:46:41.022 <airport[198]> airportdProcessDLILEvent: <en0> Setting power ON
Mon Jul  6 01:46:41.035 <airport[198]> _configureTCPKeepAlive: Unable to enable TCP keep-alive on en0 (Operation not supported)
Mon Jul  6 01:46:41.709 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Mon Jul  6 01:46:41.789 <airport[198]> ERROR: rapportd (400) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:46:41.800 <airport[198]> ERROR: sharingd (483) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:47:03.341 Apple80211Set:10289 Processing APPLE80211_IOC_ROAM
Mon Jul  6 01:47:03.341 Apple80211Set:10303 Processing APPLE80211_IOC_ROAM dataRef:0x7fc56786c2a0
Mon Jul  6 01:47:03.341 Apple80211Set:10324 CFType is CFData
Mon Jul  6 01:48:16.530 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 01:48:16.531 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 01:48:16.531 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.244
Mon Jul  6 01:48:16.531 <kernel> wl0: setup_keepalive: Local port: 49153, Remote port: 5223
Mon Jul  6 01:48:16.531 <kernel> wl0: setup_keepalive: Seq: 1349809622, Ack: 801828669, Win size: 2048
Mon Jul  6 01:48:16.531 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 01:48:16.531 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 01:48:16.531 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 01:48:16.531 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:adbe:933:22ae:bef4
Mon Jul  6 01:48:16.531 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 01:54:35.001 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Mon Jul  6 01:54:35.001 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Mon Jul  6 01:54:35.001 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1349809622, Ack: 801828669, Win size: 2048
Mon Jul  6 01:54:35.001 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1349810056, Ack 801828669, Win size 249
Mon Jul  6 01:54:35.001 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Mon Jul  6 01:54:35.001 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Mon Jul  6 01:54:35.001 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Mon Jul  6 01:54:35.023 <airport[198]> airportdProcessDLILEvent: <en0> event=1, flags=0xFFFF8863, lastPowerPref=on
Mon Jul  6 01:54:35.024 <airport[198]> airportdProcessDLILEvent: en0 marked UP, applying user power preferences (ON).
Mon Jul  6 01:54:35.024 <airport[198]> airportdProcessDLILEvent: <en0> Setting power ON
Mon Jul  6 01:54:35.026 <airport[198]> _configureTCPKeepAlive: Unable to enable TCP keep-alive on en0 (Operation not supported)
Mon Jul  6 01:54:35.711 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Mon Jul  6 01:54:35.804 <airport[198]> ERROR: sharingd (483) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:54:35.806 <airport[198]> ERROR: rapportd (400) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:54:59.415 Apple80211Set:10289 Processing APPLE80211_IOC_ROAM
Mon Jul  6 01:54:59.415 Apple80211Set:10303 Processing APPLE80211_IOC_ROAM dataRef:0x7fc567872e20
Mon Jul  6 01:54:59.415 Apple80211Set:10324 CFType is CFData
Mon Jul  6 01:55:59.213 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Mon Jul  6 01:56:11.458 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 01:56:11.458 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 01:56:11.459 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.244
Mon Jul  6 01:56:11.459 <kernel> wl0: setup_keepalive: Local port: 49153, Remote port: 5223
Mon Jul  6 01:56:11.459 <kernel> wl0: setup_keepalive: Seq: 1349811084, Ack: 801828717, Win size: 2048
Mon Jul  6 01:56:11.459 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 01:56:11.459 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 01:56:11.459 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 01:56:11.459 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:adbe:933:22ae:bef4
Mon Jul  6 01:56:11.459 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 02:40:14.003 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Mon Jul  6 02:40:14.003 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Mon Jul  6 02:40:14.003 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1349811084, Ack: 801828717, Win size: 2048
Mon Jul  6 02:40:14.003 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1349811112, Ack 801828765, Win size 249
Mon Jul  6 02:40:14.003 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Mon Jul  6 02:40:14.003 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Mon Jul  6 02:40:14.003 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Mon Jul  6 02:40:14.021 <airport[198]> airportdProcessDLILEvent: <en0> event=1, flags=0xFFFF8863, lastPowerPref=on
Mon Jul  6 02:40:14.021 <airport[198]> airportdProcessDLILEvent: en0 marked UP, applying user power preferences (ON).
Mon Jul  6 02:40:14.021 <airport[198]> airportdProcessDLILEvent: <en0> Setting power ON
Mon Jul  6 02:40:14.023 <airport[198]> _configureTCPKeepAlive: Unable to enable TCP keep-alive on en0 (Operation not supported)
Mon Jul  6 02:40:14.713 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Mon Jul  6 02:40:14.771 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Mon Jul  6 02:40:14.837 <airport[198]> ERROR: rapportd (400) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 02:40:14.837 <airport[198]> ERROR: sharingd (483) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 03:40:14.592 <airport[198]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Mon Jul  6 03:40:15.273 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 04:26:46.014 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 04:26:47.571 <airport[198]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Mon Jul  6 05:15:48.795 Usb Host Notification NOT activated
Mon Jul  6 05:15:48.803 <airport[198]> _bsdDriver_init: registration for monitoring bssSteeringRequest event 
Mon Jul  6 05:15:48.804 
Mon Jul  6 05:15:48.807 <kernel> Not adding subscription due to missing boot-arg wlan.iorsubscriptions
Mon Jul  6 05:15:49.272 <kernel> Not adding subscription due to missing boot-arg wlan.iorsubscriptions
Mon Jul  6 05:15:49.274 <kernel>  Creating all peerManager reporters
Mon Jul  6 05:15:49.276 <kernel> Not adding subscription due to missing boot-arg wlan.iorsubscriptions
Mon Jul  6 05:15:49.277 <airport[198]> _initInterface: Failed to query current SSID (Operation not supported)
Mon Jul  6 05:15:49.282 <kernel>  IOCTL (from pid 198) not recognized: 383 out of 380
Mon Jul  6 05:15:49.282 Apple80211SetProperty: ioctl failed: bsdErr=-1, errno=102
Mon Jul  6 05:15:49.308 <kernel>  IOCTL (from pid 198) not recognized: 381 out of 380
Mon Jul  6 05:15:49.339 <airport[198]> ERROR: bluetoothd (160) is not entitled for com.apple.wifi.events.private, will not register for event type 100
Mon Jul  6 05:15:49.345 <airport[198]> ERROR: bluetoothd (160) is not entitled for com.apple.wifi.events, but allowing anyways for event type 1
Mon Jul  6 05:15:49.345 <airport[198]> ERROR: bluetoothd (160) is not entitled for com.apple.wifi.events, but allowing anyways for event type 5
Mon Jul  6 05:15:49.345 <airport[198]> ERROR: bluetoothd (160) is not entitled for com.apple.wifi.events.private, will not register for event type 130
Mon Jul  6 05:15:49.346 <airport[198]> ERROR: bluetoothd (160) is not entitled for com.apple.wifi.events.private, will not register for event type 122
Mon Jul  6 05:15:49.346 <airport[198]> ERROR: bluetoothd (160) is not entitled for com.apple.wifi.events.private, will not register for event type 123
Mon Jul  6 05:15:49.346 <airport[198]> ERROR: bluetoothd (160) is not entitled for com.apple.wifi.events, but allowing anyways for event type 5
Mon Jul  6 05:15:49.346 <airport[198]> ERROR: bluetoothd (160) is not entitled for com.apple.wifi.events, but allowing anyways for event type 7
Mon Jul  6 05:15:49.347 <airport[198]> ERROR: bluetoothd (160) is not entitled for com.apple.wifi.events, but allowing anyways for event type 1
Mon Jul  6 05:15:49.347 <airport[198]> ERROR: bluetoothd (160) is not entitled for com.apple.wifi.events, but allowing anyways for event type 2
Mon Jul  6 05:15:49.357 <airport[198]> airportdProcessDLILEvent: <en0> event=9, flags=0xFFFF8863, lastPowerPref=on
Mon Jul  6 05:15:49.357 <airport[198]> airportdProcessDLILEvent: en0 attached (up)
Mon Jul  6 05:15:49.359 <kernel> Setting BTCoex Profile: band:8
Mon Jul  6 05:15:49.359 <kernel> Profile[0]: mode:7; desense:0; desense_level:0; chain_power_offset:<kernel> 0,<kernel> 0,<kernel> 0,<kernel> 0,<kernel> 
Mon Jul  6 05:15:49.359 <kernel> Profile[1]: mode:7; desense:0; desense_level:0; chain_power_offset:<kernel> 0,<kernel> 0,<kernel> -7,<kernel> 0,<kernel> 
Mon Jul  6 05:15:49.359 <kernel> Profile[2]: mode:7; desense:1; desense_level:3; chain_power_offset:<kernel> 0,<kernel> 0,<kernel> -7,<kernel> 0,<kernel> 
Mon Jul  6 05:15:49.359 <kernel> Setting BTCoex Profile: band:2
Mon Jul  6 05:15:49.359 <kernel> Profile[0]: mode:0; desense:0; desense_level:0; chain_power_offset:<kernel> 0,<kernel> 0,<kernel> 0,<kernel> 0,<kernel> 
Mon Jul  6 05:15:49.359 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Mon Jul  6 05:15:49.363 <kernel>  IOCTL (from pid 198) not recognized: 10 out of 380
Mon Jul  6 05:15:49.363 <kernel>  IOCTL (from pid 198) not recognized: 216 out of 380
Mon Jul  6 05:15:49.363 <kernel>  IOCTL (from pid 198) not recognized: 216 out of 380
Mon Jul  6 05:15:49.372 <kernel> en0: setting diversity to: -1
Mon Jul  6 05:15:49.372 <kernel> en0: Error configuring antenna diversity (index = -1).
Mon Jul  6 05:15:49.372 <kernel> en0: setting tx antenna: -1
Mon Jul  6 05:15:49.372 <kernel> en0: Error configuring transmit antenna (index = -1).
Mon Jul  6 05:15:49.377 <airport[198]> _bsdDriver_init: registration for monitoring bssSteeringRequest event 
Mon Jul  6 05:15:49.377 
Mon Jul  6 05:15:49.424 <airport[198]> _bsdDriver_init: registration for monitoring bssSteeringRequest event 
Mon Jul  6 05:15:49.424 
Mon Jul  6 05:15:49.540 <airport[198]> systemWokenByWiFi: System Wake Reason not found
Mon Jul  6 05:15:50.242 <kernel> parseRSNIE: groupCipherType = 5 pairwiseCipherType = 5 authSel = 8
Mon Jul  6 05:15:50.242 <kernel> initWithInterfaceAndIE: _myMacAddress 98:01:a7:af:6b:15
Mon Jul  6 05:15:50.242 <kernel> setPSKPMK: PMK SET!
Mon Jul  6 05:15:50.586 <kernel> Failed test for valid apple80211_postMessage_tlv_types in data, 65535
Mon Jul  6 05:15:50.587 <kernel> Message to APPLE80211_M_AUTH has PMK length 32 pmkid length 16
Mon Jul  6 05:15:50.587 <kernel> setPMK: PMK SET!
Mon Jul  6 05:15:50.587 <kernel> setPMK: PMKID SET!
Mon Jul  6 05:15:50.587 <kernel> Unexpected payload found for message 74, dataLen 104
Mon Jul  6 05:15:50.587 <kernel> payload Data ff ff 00 00 00 00 00 00 ee 55 d7 81 87 e3 00 00 20 00 00 00 fd 47 52 75 19 7b 17 9d f3 00 45 8f 0f 99 9e 95 84 e9 6f ec cc ea 09 7b 43 1f 4a 6a 8c 79 58 61 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 10 22 45 f3 bf 71 5d 95 4b 51 73 c0 43 0c 09 a7 
Mon Jul  6 05:15:50.587 <kernel> Error storing postMessage 74
Mon Jul  6 05:15:51.196 <kernel> Adding setInterfaceAverageCCA with cca 0
Mon Jul  6 05:15:54.210 <kernel> Message to APPLE80211_M_AUTH has PMK length 32 pmkid length 16
Mon Jul  6 05:15:54.210 <kernel> setPMK: PMK SET!
Mon Jul  6 05:15:54.210 <kernel> setPMK: PMKID SET!
Mon Jul  6 05:15:54.210 <kernel> Unexpected payload found for message 74, dataLen 104
